id,zip_code,price,bds,ba,sqft,sold_year,sold_month,sold_day,type,year_built,heating,cooling,parking,pets,laundry,flooring,appliances,view_city,view_mountain,view_park,view_water,most_recent_listing_date,most_recent_listing_price,sold_time,listing_sold_time_diff,price_percent_change
"['39', 'N', 'Moore', 'St', 'APT', '4A']",NY 10013,3380000,3,3,2200,2020,6,23,Condo,1909,,,Covered,,,,Appliances included: Dishwasher,0,0,1,0,3/4/2020 0:00,3750000,6/23/2020,111,-0.098666667
"['159', 'W', '53rd', 'St', 'APT', '37G']",NY 10019,750000,1,1,650,2020,6,22,Condo,1968,Gas,,"Garage - Attached, Covered",,,,Other interior features,1,0,1,0,10/31/2019 0:00,895000,6/22/2020,235,-0.162011173
"['799', 'Park', 'Ave', 'APT', '3D']",NY 10021,2160000,2,2,,2020,6,19,Condo,1960,,Central,0 spaces,,,,"Appliances included: Dishwasher, Dryer, Washer",1,0,1,0,3/15/2019 0:00,2475000,6/19/2020,462,-0.127272727
"['535', 'E', '86th', 'St', '16F']",NY 10028,1680000,2,3,,2020,6,10,Condo,1960,,,0 spaces,,,,"Appliances included: Dishwasher, Dryer, Washer",1,0,1,1,11/14/2019 0:00,1950000,6/10/2020,209,-0.138461538
"['88', 'Central', 'Park', 'W', 'APT', '11S']",NY 10023,11000000,4,3,,2020,6,8,Condo,1910,,,0 spaces,,,,"Appliances included: Dryer, Washer",0,0,1,0,9/14/2019 0:00,13495000,6/8/2020,268,-0.18488329
"['20', 'W', '72nd', 'St', '1601']",NY 10023,495000,1,1,,2020,6,4,Condo,1925,,,0 spaces,,,Flooring: Hardwood,"Appliances included: Dishwasher, Freezer, Microwave, Range / Oven, Refrigerator",1,0,1,0,7/23/2019 0:00,575000,6/4/2020,317,-0.139130435
"['720', 'Fort', 'Washington', 'Ave', 'APT', 'X']",NY 10040,905000,3,2,1300,2020,6,4,Condo,1939,,,On-street,,,Flooring: Hardwood,Other interior features,1,0,1,0,1/8/2020 0:00,875000,6/4/2020,148,0.034285714
"['900', 'Park', 'Ave', 'APT', '21E']",NY 10075,3000000,2,3,1288,2020,6,3,Condo,1973,,,Garage - Attached,,,,,0,0,1,0,12/7/2019 0:00,3250000,6/3/2020,179,-0.076923077
"['15', 'W', '72nd', 'St', 'APT', '19A']",NY 10023,2370000,3,2,1800,2020,6,2,Condo,1964,,,Covered,,,,Appliances included: Dishwasher,1,0,1,0,4/23/2019 0:00,2599000,6/2/2020,406,-0.088110812
"['613', 'E', '6th', 'St', 'APT', '2B']",NY 10009,720000,1,1,,2020,5,22,Condo,1900,,,"On-street, Covered",,,Flooring: Hardwood,"Appliances included: Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer",1,0,1,0,1/30/2020 0:00,650000,5/22/2020,113,0.107692308
"['200', 'E', '66th', 'St', 'APT', 'D1503']",NY 10065,2380000,2,2,1442,2020,5,12,Condo,1951,,,Covered,,,,"Appliances included: Dishwasher, Dryer, Range / Oven, Refrigerator, Washer",1,0,1,0,9/3/2019 0:00,2700000,5/12/2020,252,-0.118518519
"['200', 'E', '89th', 'St', 'APT', '44A']",NY 10128,1660000,2,2,1016,2020,5,5,Condo,1987,,,Garage - Attached,,,,"Appliances included: Dishwasher, Microwave, Range / Oven, Refrigerator",1,0,1,0,9/11/2019 0:00,1795000,5/5/2020,237,-0.075208914
"['660', 'Riverside', 'Dr', 'APT', '2D']",NY 10031,400000,1,1,451,2020,5,4,Multiple Occupancy,,"Other, Radiant, Gas",None,"None, Covered","Cats, Small Dogs, Dogs",Contact manager,"Flooring: Tile, Hardwood",Appliances included: Dishwasher,0,0,1,1,9/8/2019 0:00,499000,5/4/2020,239,-0.198396794
"['79', 'Laight', 'St', '3B']",NY 10013,4200000,3,3,2490,2020,4,29,Condo,1853,,Central,0 spaces,,,,Other interior features,0,0,1,0,10/3/2019 0:00,4450000,4/29/2020,209,-0.056179775
"['1601', '3rd', 'Ave', 'APT', '6F']",NY 10128,1500000,3,2,1157,2020,4,29,Condo,1975,Gas,,"Garage - Attached, Covered",,,,Other interior features,1,0,1,0,1/31/2020 0:00,1495000,4/29/2020,89,0.003344482
"['7', 'W', '96th', 'St', 'APT', '9E']",NY 10025,1070000,2,2,1100,2020,4,28,Condo,1931,,,0 spaces,,,,Appliances included: Dishwasher,1,0,1,0,9/25/2019 0:00,1195000,4/28/2020,216,-0.10460251
